央卫直播①,#genre#
东方卫视,http://www.hiliu.myds.me:8088/rtp/239.254.96.142:8926
江苏卫视,http://www.hiliu.myds.me:8088/rtp/239.254.96.144:8938
天津卫视,http://www.hiliu.myds.me:8088/rtp/239.69.1.68:10048
山东卫视,http://www.hiliu.myds.me:8088/rtp/239.69.1.69:10054
安徽卫视,http://www.hiliu.myds.me:8088/rtp/239.69.1.70:10060
辽宁卫视,http://www.hiliu.myds.me:8088/rtp/239.69.1.71:10066
东南卫视,http://www.hiliu.myds.me:8088/rtp/239.69.1.108:10286
江西卫视,http://www.hiliu.myds.me:8088/rtp/239.69.1.126:10394
重庆卫视,http://www.hiliu.myds.me:8088/rtp/239.69.1.149:10530

青海综合,#genre#
青海卫视,http://stream.qhbtv.com/qhws/playlist.m3u8

甘肃综合,#genre#
甘肃卫视,rtmp://livein.gstv.com.cn/49048r/y3nga4

海南综合,#genre#
三沙卫视,http://sunny2017.forver.one:4022/udp/239.21.2.9:5002

西藏综合,#genre#
西藏卫视,http://php.jdshipin.com:8880/xztv.php?id=ws

卫视IPV4#genre#
翡翠台,http://101.35.240.114:88/live.php?id=翡翠台
香港卫视,http://101.35.240.114:88/live.php?id=香港卫视
湖南卫视,http://101.35.240.114:88/live.php?id=湖南卫视
北京卫视,http://101.35.240.114:88/live.php?id=北京卫视
深圳卫视,http://101.35.240.114:88/live.php?id=深圳卫视
浙江卫视,http://101.35.240.114:88/live.php?id=浙江卫视
江苏卫视,http://101.35.240.114:88/live.php?id=江苏卫视
陕西卫视,http://101.35.240.114:88/live.php?id=陕西卫视
湖北卫视,http://101.35.240.114:88/live.php?id=湖北卫视
内蒙古卫视,http://101.35.240.114:88/live.php?id=内蒙古卫视
江西卫视,http://101.35.240.114:88/live.php?id=江西卫视
广东卫视,http://101.35.240.114:88/live.php?id=广东卫视
东方卫视,http://101.35.240.114:88/live.php?id=东方卫视
西藏卫视,http://101.35.240.114:88/live.php?id=西藏卫视
新疆卫视,http://101.35.240.114:88/live.php?id=新疆卫视
青海卫视,http://148.135.93.213/live.php?id=青海卫视
东南卫视,http://101.35.240.114:88/live.php?id=东南卫视
吉林卫视,http://148.135.93.213/live.php?id=吉林卫视
四川卫视,http://148.135.93.213/live.php?id=四川卫视
天津卫视,http://148.135.93.213/live.php?id=天津卫视
安徽卫视,http://101.35.240.114:88/live.php?id=安徽卫视
山东卫视,http://148.135.93.213/live.php?id=山东卫视
山西卫视,http://148.135.93.213/live.php?id=山西卫视
广西卫视,http://148.135.93.213/live.php?id=广西卫视
河北卫视,http://148.135.93.213/live.php?id=河北卫视
河南卫视,http://148.135.93.213/live.php?id=河南卫视
甘肃卫视,http://148.135.93.213/live.php?id=甘肃卫视
贵州卫视,http://148.135.93.213/live.php?id=贵州卫视
辽宁卫视,http://148.135.93.213/live.php?id=辽宁卫视
重庆卫视,http://148.135.93.213/live.php?id=重庆卫视
黑龙江卫视,http://148.135.93.213/live.php?id=黑龙江卫视
海南卫视,http://148.135.93.213/live.php?id=海南卫视
大湾区卫视,http://148.135.93.213/live.php?id=大湾区卫视

